Cause,time,est,Risk,LiverRx,estRx,Stage,Age
Decompensation,0.8,0.1599999999999999,Low,0,0.1599999999999999,F2,55
Decompensation,1.2,0.20999999999999983,Low,0,0.20999999999999983,F2,55
Decompensation,1.6,0.30999999999999966,Low,0,0.30999999999999966,F2,55
Decompensation,2,0.3399999999999996,Low,0,0.3399999999999996,F2,55
Decompensation,2.4,0.3899999999999995,Low,0,0.3899999999999995,F2,55
Decompensation,2.8,0.4499999999999992,Low,0,0.4499999999999992,F2,55
Decompensation,3.2,0.4699999999999991,Low,0,0.4699999999999991,F2,55
Decompensation,3.6,0.5099999999999989,Low,0,0.5099999999999989,F2,55
Decompensation,4,0.5899999999999986,Low,0,0.5899999999999986,F2,55
Decompensation,4.4,0.6599999999999986,Low,0,0.6599999999999986,F2,55
Decompensation,4.8,0.72999999999999865,Low,0,0.72999999999999865,F2,55
Decompensation,5.2,0.7699999999999986,Low,0,0.7699999999999986,F2,55
Decompensation,5.6,0.7999999999999985,Low,0,0.7999999999999985,F2,55
Decompensation,6,0.8499999999999982,Low,0,0.8499999999999982,F2,55
Decompensation,6.4,0.8899999999999979,Low,0,0.8899999999999979,F2,55
Decompensation,6.8,0.9699999999999976,Low,0,0.9699999999999976,F2,55
Decompensation,7.2,1.0399999999999971,Low,0,1.0399999999999971,F2,55
Decompensation,7.6,1.1199999999999968,Low,0,1.1199999999999968,F2,55
Decompensation,8,1.1799999999999964,Low,0,1.1799999999999964,F2,55
Decompensation,8.4,1.249999999999996,Low,0,1.249999999999996,F2,55
Decompensation,8.8,1.3099999999999956,Low,0,1.3099999999999956,F2,55
Decompensation,9.2,1.399999999999995,Low,0,1.399999999999995,F2,55
Decompensation,9.6,1.4599999999999946,Low,0,1.4599999999999946,F2,55
Decompensation,10,1.4899999999999944,Low,0,1.4899999999999944,F2,55
HCC,0,0,Low,0,0,F2,55
HCC,0.4,0,Low,0,0,F2,55
HCC,0.8,0.029999999999999975,Low,0,0.029999999999999975,F2,55
HCC,1.2,0.04999999999999996,Low,0,0.04999999999999996,F2,55
HCC,1.6,0.05999999999999994,Low,0,0.05999999999999994,F2,55
HCC,2,0.08999999999999987,Low,0,0.08999999999999987,F2,55
HCC,2.4,0.11999999999999982,Low,0,0.11999999999999982,F2,55
HCC,2.8,0.12999999999999978,Low,0,0.12999999999999978,F2,55
HCC,3.2,0.12999999999999978,Low,0,0.12999999999999978,F2,55
HCC,3.6,0.15999999999999973,Low,0,0.15999999999999973,F2,55
HCC,4,0.1699999999999997,Low,0,0.1699999999999997,F2,55
HCC,4.4,0.19999999999999965,Low,0,0.19999999999999965,F2,55
HCC,4.8,0.20999999999999963,Low,0,0.20999999999999963,F2,55
HCC,5.2,0.2399999999999996,Low,0,0.2399999999999996,F2,55
HCC,5.6,0.25999999999999956,Low,0,0.25999999999999956,F2,55
HCC,6,0.2799999999999995,Low,0,0.2799999999999995,F2,55
HCC,6.4,0.2799999999999995,Low,0,0.2799999999999995,F2,55
HCC,6.8,0.30999999999999944,Low,0,0.30999999999999944,F2,55
HCC,7.2,0.3599999999999994,Low,0,0.3599999999999994,F2,55
HCC,7.6,0.37999999999999934,Low,0,0.37999999999999934,F2,55
